,temperature,pressure,flow_rate,target
0,3,0,2,94.30326124515597
1,2,1,0,97.87611819920494
2,3,0,4,161.96598868142516
3,4,3,1,94.83649723937131
4,2,0,1,110.2024872250015
5,2,1,1,87.01270360772239
6,4,3,2,105.90465150081207
7,4,0,2,95.23532649888764
8,1,4,0,91.7896303454054
9,3,3,0,136.3779706440065
10,2,0,4,123.54369926368678
11,1,2,0,102.73493294798462
12,3,0,0,53.915761281120666
13,0,0,2,92.77981553494861
14,0,3,4,154.06055128810166
15,1,3,0,95.38676666720583
16,0,0,3,122.06435144107317
17,2,0,0,128.838848039052
18,0,3,0,104.3792783171195
19,0,1,0,83.16356736263695
20,4,3,4,51.29375336434223
21,1,2,0,113.6832641721791
22,2,4,1,83.70487994352904
23,0,1,1,103.52300903775384
24,2,0,4,75.00359320821272
25,2,2,1,94.69524919059596
26,0,4,1,100.67438109802106
27,3,4,0,105.37187162088595
28,1,2,1,77.70355625295171
29,1,1,2,123.93821897522704
30,1,1,2,88.06210430536058
31,4,0,1,66.51061079093509
32,2,3,1,97.81953160073073
33,0,2,1,100.6875061805292
34,3,4,2,103.2117886634352
35,0,4,0,127.24264807370159
36,2,2,4,95.2710232652828
37,0,1,4,97.60760751262457
38,0,1,4,77.93631237533813
39,3,0,4,116.41107005775794
40,4,2,1,103.68618128156207
41,2,1,3,91.59944545411675
42,2,1,0,61.90650613069073
43,1,2,2,128.88824390110176
44,0,1,2,75.44640071087886
45,1,2,1,88.17443981260588
46,1,3,3,107.16689022152006
47,3,2,1,76.06884142766627
48,3,2,2,70.12980443493713
49,0,3,4,57.5210483459867
50,2,2,1,114.41993905811272
51,1,0,2,89.09627510547357
52,1,1,4,158.5454018494666
53,3,1,2,80.11289868738254
54,4,2,2,81.57097953142157
55,3,0,1,88.69214059429197
56,0,1,0,104.86269310276978
57,2,4,4,90.59593322429377
58,3,1,3,112.24664428005025
59,4,2,2,80.42823220022692
60,1,4,1,72.36816563072838
61,1,1,2,64.03570521181786
62,0,3,4,55.52851664125606
63,0,1,2,89.63861961049886
64,3,1,3,93.98039375213556
65,4,1,0,87.37125945033634
66,1,0,3,124.86811594374323
67,4,2,4,124.5606041921627
68,3,4,2,93.30394025110996
69,1,4,0,64.12157773616073
70,3,2,2,88.66589783889894
71,4,4,3,88.00357212165878
72,2,2,2,86.85730075443884
73,4,4,4,86.04562192203511
74,0,0,3,86.93074208550385
75,3,3,4,92.26916768204481
76,1,4,4,87.28917802368886
77,1,4,1,104.16645017251184
78,3,2,0,107.20737431809722
79,0,1,1,81.7870982563502
80,1,3,4,125.42130652014066
81,3,3,3,80.39875396318772
82,4,0,2,67.64398772369326
83,2,0,1,107.61556142730103
84,1,1,0,83.65183731171321
85,1,1,3,106.42582941514776
86,4,1,2,51.92662797798939
87,3,3,2,127.84911882966135
88,1,0,2,113.44586816080805
89,3,4,0,69.99046901673997
90,2,1,2,70.4244575230743
91,4,3,1,133.44531808195055
92,1,3,0,85.25240193004083
93,1,1,4,83.31630302534752
94,1,3,1,54.678958117014346
95,0,3,1,92.98443588796891
96,3,4,0,95.44560770328495
97,2,1,3,114.3098619353897
98,2,0,1,72.0184314363105
99,2,4,2,69.5942641551878
100,0,2,0,109.01925269552953
101,0,1,0,120.1346014245413
102,2,2,0,68.57695297764234
103,0,4,3,121.63028172599482
104,2,0,4,100.75083682973643
105,2,4,1,121.83610678149292
106,4,0,2,98.59559276964767
107,2,4,4,49.55444165024099
108,2,2,1,96.96065235367922
109,3,1,4,121.2028763734254
110,0,0,1,82.12507961832571
111,2,1,4,92.24070062185096
112,2,2,3,96.47732992898044
113,4,0,4,42.00972240263036
114,2,3,3,133.42695150874954
115,3,1,1,81.97248640205652
116,3,1,4,110.11470864945598
117,0,0,2,98.26597727703583
118,4,0,2,125.1523811271872
119,4,3,3,108.12112244856162
120,4,4,3,95.3015145695805
121,1,3,4,82.1296981496144
122,4,2,1,115.95701402764277
123,0,1,3,62.53117392090766
124,4,2,4,112.91780840551785
125,4,4,1,78.01910496890255
126,0,0,2,125.0456732391328
127,1,4,1,103.2259908532539
128,2,3,1,112.88247535700218
129,1,3,4,101.63977627649439
130,0,3,3,64.95245809718006
131,2,2,3,82.78541673209324
132,1,1,4,113.44778675222764
133,3,4,1,103.33311634719688
134,0,1,3,123.61979810611345
135,4,2,1,108.06549126074344
136,1,3,4,80.6659621859468
137,1,3,0,84.07871724558731
138,4,1,4,102.05834781046474
139,0,0,1,53.71911867999789
140,2,3,1,133.4688377124597
141,4,0,3,108.83493472755114
142,0,2,1,124.54069194097744
143,2,2,3,68.38792118381662
144,2,2,2,124.89130320710511
145,3,4,3,144.62997822055496
146,0,0,1,73.58243289245365
147,0,0,0,115.42803589807534
148,3,2,1,100.02219889374587
149,2,0,1,69.11132303503511
150,2,3,2,109.85767943703739
151,2,4,2,116.67206409674696
152,0,0,1,87.97746894662306
153,2,2,0,123.31833040510446
154,3,0,2,66.66473186421604
155,1,0,4,70.10487707100711
156,4,0,1,102.73194791177505
