,temperature,pressure,flow_rate,target
0,2,1,0,94.30326124515597
1,2,2,0,97.87611819920494
2,2,1,2,161.96598868142516
3,3,2,0,94.83649723937131
4,2,1,0,110.2024872250015
5,2,2,0,87.01270360772239
6,3,2,0,105.90465150081207
7,2,1,0,95.23532649888764
8,1,3,0,91.7896303454054
9,2,2,0,136.3779706440065
10,1,1,1,123.54369926368678
11,1,2,0,102.73493294798462
12,2,1,0,53.915761281120666
13,0,1,0,92.77981553494861
14,1,2,1,154.06055128810166
15,1,2,0,95.38676666720583
16,1,1,1,122.06435144107317
17,2,0,0,128.838848039052
18,1,2,0,104.3792783171195
19,1,1,0,83.16356736263695
20,3,2,1,51.29375336434223
21,1,2,0,113.6832641721791
22,2,3,0,83.70487994352904
23,1,2,0,103.52300903775384
24,2,0,1,75.00359320821272
25,2,2,0,94.69524919059596
26,1,3,0,100.67438109802106
27,2,3,0,105.37187162088595
28,1,2,0,77.70355625295171
29,1,2,0,123.93821897522704
30,1,1,0,88.06210430536058
31,3,1,0,66.51061079093509
32,2,2,0,97.81953160073073
33,1,2,0,100.6875061805292
34,2,3,0,103.2117886634352
35,1,4,0,127.24264807370159
36,2,2,1,95.2710232652828
37,0,2,2,97.60760751262457
38,1,2,2,77.93631237533813
39,2,1,1,116.41107005775794
40,2,2,0,103.68618128156207
41,2,2,1,91.59944545411675
42,2,1,0,61.90650613069073
43,1,2,0,128.88824390110176
44,1,2,0,75.44640071087886
45,1,2,0,88.17443981260588
46,1,2,1,107.16689022152006
47,2,2,0,76.06884142766627
48,2,2,0,70.12980443493713
49,1,2,1,57.5210483459867
50,2,2,0,114.41993905811272
51,1,1,0,89.09627510547357
52,1,1,1,158.5454018494666
53,2,1,0,80.11289868738254
54,2,2,0,81.57097953142157
55,2,1,0,88.69214059429197
56,1,1,0,104.86269310276978
57,2,2,1,90.59593322429377
58,2,2,0,112.24664428005025
59,2,2,0,80.42823220022692
60,1,3,0,72.36816563072838
61,1,2,0,64.03570521181786
62,1,2,2,55.52851664125606
63,1,2,0,89.63861961049886
64,2,1,0,93.98039375213556
65,2,2,0,87.37125945033634
66,1,1,1,124.86811594374323
67,2,2,1,124.5606041921627
68,2,3,0,93.30394025110996
69,1,3,0,64.12157773616073
70,2,2,0,88.66589783889894
71,3,3,1,88.00357212165878
72,2,2,0,86.85730075443884
73,3,3,1,86.04562192203511
74,0,1,1,86.93074208550385
75,2,2,1,92.26916768204481
76,1,3,1,87.28917802368886
77,1,3,0,104.16645017251184
78,2,2,0,107.20737431809722
79,0,2,0,81.7870982563502
80,1,2,1,125.42130652014066
81,2,2,1,80.39875396318772
82,3,0,0,67.64398772369326
83,2,0,0,107.61556142730103
84,1,2,0,83.65183731171321
85,1,1,1,106.42582941514776
86,2,2,0,51.92662797798939
87,2,2,0,127.84911882966135
88,1,1,0,113.44586816080805
89,2,3,0,69.99046901673997
90,2,1,0,70.4244575230743
91,2,2,0,133.44531808195055
92,1,2,0,85.25240193004083
93,1,1,3,83.31630302534752
94,1,2,0,54.678958117014346
95,1,2,0,92.98443588796891
96,2,3,0,95.44560770328495
97,2,2,1,114.3098619353897
98,2,1,0,72.0184314363105
99,2,3,0,69.5942641551878
100,1,2,0,109.01925269552953
101,1,2,0,120.1346014245413
102,2,2,0,68.57695297764234
103,1,3,1,121.63028172599482
104,2,1,1,100.75083682973643
105,2,3,0,121.83610678149292
106,3,1,0,98.59559276964767
107,2,2,1,49.55444165024099
108,2,2,0,96.96065235367922
109,2,2,1,121.2028763734254
110,0,1,0,82.12507961832571
111,2,2,2,92.24070062185096
112,2,2,1,96.47732992898044
113,3,1,1,42.00972240263036
114,2,2,1,133.42695150874954
115,2,2,0,81.97248640205652
116,2,2,2,110.11470864945598
117,1,1,0,98.26597727703583
118,2,1,0,125.1523811271872
119,2,2,1,108.12112244856162
120,2,3,1,95.3015145695805
121,1,2,2,82.1296981496144
122,3,2,0,115.95701402764277
123,1,2,1,62.53117392090766
124,2,2,1,112.91780840551785
125,3,2,0,78.01910496890255
126,1,1,0,125.0456732391328
127,1,3,0,103.2259908532539
128,2,2,0,112.88247535700218
129,1,2,3,101.63977627649439
130,1,2,1,64.95245809718006
131,2,2,1,82.78541673209324
132,1,2,2,113.44778675222764
133,2,3,0,103.33311634719688
134,1,2,1,123.61979810611345
135,3,2,0,108.06549126074344
136,1,2,1,80.6659621859468
137,1,2,0,84.07871724558731
138,2,1,2,102.05834781046474
139,1,1,0,53.71911867999789
140,2,2,0,133.4688377124597
141,3,1,1,108.83493472755114
142,1,2,0,124.54069194097744
143,2,2,1,68.38792118381662
144,2,2,0,124.89130320710511
145,2,3,1,144.62997822055496
146,1,1,0,73.58243289245365
147,1,1,0,115.42803589807534
148,2,2,0,100.02219889374587
149,2,1,0,69.11132303503511
150,2,2,0,109.85767943703739
151,2,3,0,116.67206409674696
152,1,1,0,87.97746894662306
153,2,2,0,123.31833040510446
154,2,1,0,66.66473186421604
155,1,1,1,70.10487707100711
156,3,1,0,102.73194791177505
157,2,2,1,100.50770555944544
158,1,3,1,85.66853023151789
159,2,2,0,116.19188871943771
160,1,1,1,110.61788628431898
161,2,2,0,117.16278141868031
162,2,2,0,97.53727129295464
163,1,2,0,112.05160535956682
164,2,2,1,91.08699393940012
165,2,1,1,141.0763738017319
166,2,1,0,83.74908459756028
167,3,1,0,142.10594858916625
168,2,2,2,100.69775894178817
169,1,2,0,72.48978220862514
170,1,2,0,127.36158700977202
171,1,2,1,102.51802776789918
172,2,1,1,117.02248196760476
173,2,2,1,124.47711837085187
174,2,1,1,106.7591110829005
175,2,3,1,88.15518310374371
176,1,0,0,119.514267553385
177,3,2,0,100.01511014909191
178,1,3,0,113.71715637216838
179,3,2,2,56.92538852417077
180,2,2,0,108.93963434019705
181,1,2,0,87.2282834970994
182,1,1,1,133.0661927435706
183,2,3,0,112.4617469577819
184,1,0,0,104.79715491698593
185,2,3,0,109.72619986700442
